Rank,Tier,Organization,Reality Checker verdict,Score,Confidence,Why it qualifies,Evidence,Unknowns,Disqualification risks,Relevant contact,Recommended outreach angle
1,A,Edmonton Down Syndrome Society (EDSS),PASS,76,Medium,"EDSS was incorporated as a charity in 1995 and Benevity confirms its Edmonton address. It appears on the 2024-25 CIP Operating approved list at $75,000 and has had an ED transition (2023) and new bylaws (2024).","Incorporated 1995: ""In 1995, the group incorporated as a charitable organization under the name Edmonton Down Syndrome Society (EDSS)."" (https://www.edss.ca/about) | Alberta address: ""registered business location at 9139 39 Ave, Edmonton, AB T6E 5Y2"" (https://opengovca.com/alberta-business/23161) | CIP Operating 2024-25 (search snippet of PDF): ""Edmonton Down Syndrome Society, Edmonton, $75,000"" (https://www.alberta.ca/system/files/acsw-cip-operating-approved-applicants-2024-25.pdf) | Governance change: ""transition to new bylaws, which were approved at the April 2024 AGM"" (https://thevogelgroup.ca/current-opportunities/executive-director-edmonton-down-syndrome-society/)","Revenue: $366K is a ContactOut estimate only, so UNKNOWN; Whether the 2024-25 CIP Operating grant is multi-year and still running; Exact PDF line item (seen via search snippet); Source page of the bylaws line is not pinned; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","A multi-year CIP Operating agreement still in force could affect timing or appetite; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.","Janet Tryhuba, Executive Director (https://www.globaldownsyndrome.org/exclusive-interview-with-edss-executive-director-janet-tryhuba/). ED since May 2023 per the Vogel Group posting.","EDSS was funded at the $75K CIP Operating maximum in 2024-25, and that stream is now closed. CIP-ODC (up to $50K, due Oct 15, 2026) can fund the next phase after the 2023 ED transition and the 2024 bylaws: strategic plan, board development and fund diversification."
2,A,North Rocky View Community Links Society (Community Links),PASS,74,Medium,"Benevity lists it as an Alberta cause at an Airdrie address, and its CKC profile reports a $5.74M annual budget. A local news article reports a $75K provincial award in 2022/23 in a CIP context, and a new ED started in January 2025.","Alberta address, listed on Benevity: ""NORTH ROCKY VIEW COMMUNITY LINKS SOCIETY, 211 - 125 Main Street NW, AIRDRIE, Alberta T4B 0P7"" (Benevity MCP) | Revenue well above $100K: ""Community Links Airdrie's annual budget is $5,736,173.72"" (https://ckc.calgaryfoundation.org/profile/north-rocky-view-community-links-community-links/) | Past CIP award, 2022/23: ""the North Rocky View Community Links Society was awarded $75,000 in 2022/2023"" (https://discoverairdrie.com/articles/two-airdrie-organizations-receive-provincial-funding) | Leadership transition: ""Sara Jordan took over as executive director in January 2025"" (https://www.airdriecityview.com/community/sara-jordan-takes-over-as-executive-director-of-community-links-11764129)","Whether the 2022/23 $75K was the Operating stream: the article's wording ties it to CIP but does not name the stream. The $75K matches the Operating maximum, but that is inference.; Year of the CKC budget figure; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","$5.74M budget is above the ICP S3 band ($150K-$3M), so $50K is under 1% of budget and urgency is lower; May have reapplied or received multi-year funding since 2022/23; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.","Sara Jordan, Executive Director (https://www.airdriecityview.com/community/sara-jordan-takes-over-as-executive-director-of-community-links-11764129). Source is from Jan 2025 and still current as far as known.","Sara, you are about 20 months into the ED role and in the middle of the 2025-2027 strategic plan. The CIP Operating stream that funded Community Links at $75K in 2022/23 is gone, and the new CIP-ODC grant (up to $50K, due Oct 15, 2026) funds exactly the leadership-capacity and systems work that makes a plan stick."
3,A,Big Brothers Big Sisters Association of Wood Buffalo,PASS,68,Medium,"Listed (per a search summary of the PDF) on 2024-25 CIP Operating Intake 1 for $73,250. Charity with a Fort McMurray address confirmed by Benevity. New ED appointed Oct 2024.","CIP Operating 2024-25, $73,250: ""Big Brothers Big Sisters Association of Wood Buffalo, Fort McMurray, $73,250 (insurance, rent, staff training, staff wages and salaries) [search summary; PDF not opened]"" (https://www.alberta.ca/system/files/acsw-cip-operating-approved-applicants-2024-25.pdf) | Leadership transition: ""BBBS Wood Buffalo appoints new Executive Director Hanna Fridhed-Campbell, succeeding Julie Penney"" (https://www.play1037.ca/2024/10/17/youth-mentorship-in-focus-as-big-brothers-big-sisters-wood-buffalo-appoints-new-executive-director/) | Charity listing and address: ""202-604 Signal Road, Fort McMurray AB T9H 4Z4"" (Benevity cause 44fa091f-a8b9-4d30-a46c-f0504bd53de5)",Revenue (the RocketReach $16.4M was correctly discarded; audited statements exist on the annual-report page but were not read); CRA BN not seen,"The ED transition is about 2 years old, so the signal is fading; S1 rests on a search summary of the PDF","Hanna Fridhed-Campbell, Executive Director (as of Oct 2024: https://www.play1037.ca/2024/10/17/youth-mentorship-in-focus-as-big-brothers-big-sisters-wood-buffalo-appoints-new-executive-director/). Currency unconfirmed.","You used $73K of CIP Operating funding for staff training and wages, and that stream has closed. CIP-ODC (deadline Oct 15, 2026) can fund the strategic plan and leadership-capacity work that follows an ED transition."
4,A,Big Brothers Big Sisters Association of Medicine Hat & District,PASS,66,Medium,"Listed (per a search summary of the PDF) on 2024-25 CIP Operating Intake 1 for $75,000 (rent, wages). Registered charity per CanadaHelps, with a Medicine Hat address confirmed by Benevity.","CIP Operating 2024-25, $75K: ""Big Brothers/Big Sisters Association of Medicine Hat and District, Medicine Hat, $75,000 (rent, staff wages and salaries) [search summary; PDF not opened]"" (https://www.alberta.ca/system/files/acsw-cip-operating-approved-applicants-2024-25.pdf) | Registered charity: ""designated by the Canada Revenue Agency as a registered charity"" (https://www.canadahelps.org/en/charities/big-brothersbig-sisters-association-of-medicine-hat-and-district/) | Funding fragility: ""does not receive government funding on an ongoing basis ... Bowl for Kids' Sake raised more than $70K (largest source of funding)"" (https://medicinehatnews.com/news/local-news/2026/03/24/more-than-70k-raised-at-bowl-for-kids-sake/)","Total revenue. If a $70K event is the largest source, revenue could sit near the floor and the 50% formula may cap the award under $50K; Strategic plan or transition status",Revenue near $100K would reduce the award; S1 rests on a search summary of the PDF,"Ashley Turner, Executive Director (https://medicinehat.bigbrothersbigsisters.ca/contact-us/)","Your $75K CIP Operating grant covered rent and wages, and it will not renew. You rely on one event. CIP-ODC (deadline Oct 15, 2026) can fund a fund-development and revenue-diversification plan."
5,A,Rowan House Society,PASS,62,Medium,"Benevity confirms a High River, Alberta address. Charity Intelligence reports $1.7M in government funding and $905K in donations for F2024, and the society has a 2024-2027 strategic plan led by an ED who is in her first plan cycle.","Alberta address: ""Rowan House Emergency Shelter, Box 5121, High River, Alberta T1V 1M3"" (Benevity MCP) | Revenue at least $1.7M (reported components): ""In F2024 Rowan House received $905k in donations and special events; $1.7m government funding = 62% of total revenues"" (https://www.charityintelligence.ca/charity-details/1115-rowan-house-society) | Strategic-plan cycle: ""New three-year Strategic Plan 2024-2027"" (https://www.okotoksonline.com/articles/rowan-house-society-shares-details-of-new-strategic-plan) | Past CIP grant, stream not stated: ""made possible by the society receiving a two-year grant from the Alberta Community Initiatives program"" (https://www.westernwheel.ca/local-news/rowan-house-society-sets-up-okotoks-office-3638150)","CIP stream and year of the 'two-year grant'. A two-year term hints at Operating (Project grants are one-time), but that is unconfirmed, and the article date was not captured, so it may be pre-2022.; Exact total revenue: the ~$2.7M figure is back-calculated; Overdue/incomplete ministry reporting (never publicly verifiable); Whether already applying for Oct 15, 2026; Board appetite for an org-development project","Strategic plan is current, so the need is implementation rather than urgent; DV shelter funding is mostly government, so ODC may compete with larger priorities; No match to known Business Path / Cenera / Innovate Calgary relationships seen in the file, but client list not checked; confirm before outreach.","Linette Soldan, Executive Director (https://www.okotoksonline.com/articles/linette-soldan-credits-rural-roots-for-shaping-her-leadership)","Your 2024-2027 plan runs out inside the 24-month CIP-ODC window, and 62% government dependence is exactly the resilience and revenue-diversification case the new grant (up to $50K, due Oct 15, 2026) was built to fund."
6,A,Camrose Women's Shelter Society,PASS,62,Medium,"Listed (per a search summary of the PDF) on the 2024-25 CIP Operating approved list for $75,000. Charity with a Camrose address confirmed by Benevity, and a named ED on its own site.","CIP Operating 2024-25, $75K: ""Camrose Women's Shelter Society, $75,000 (administrative costs, auditing, insurance, staff wages and salaries, utilities) [search-engine summary of the PDF; PDF not opened]"" (https://www.alberta.ca/system/files/acsw-cip-operating-approved-applicants-2024-25.pdf) | Alberta address: ""Post Office Box 1405, Camrose, Alberta, T4V 1X3"" (https://camrosewomenshelter.org/contact-us/) | Registered charity: ""designated by the Canada Revenue Agency as a registered charity"" (https://www.canadahelps.org/en/charities/camrosewomenshelter/)","Revenue (a 22-bed shelter is plausibly well above $100K, but no figure); Org-development signal; The PDF line itself (only a search summary was seen)","The S1 evidence is a search summary of the PDF, not the document itself. Open the PDF before outreach; Discovery's claim that CIP-ODC 'doesn't require matching funds' is not in the ICP doc. Do not use it","Nora-Lee Rear, Executive Director (https://camrosewomenshelter.org/about-us/)","You held a $75K CIP Operating grant in 2024-25, and that stream has closed. CIP-ODC (deadline Oct 15, 2026) is its replacement and pays for admin, systems and governance capacity."
7,A,Edson Friendship Centre,PASS,62,Medium,"Registered charity (BN 101580918RR0001), est. 1986, in Edson. Listed (per a search summary) on 2024-25 CIP Operating for $74,000.","Registered charity: ""Business No. 101580918RR0001. Established in 1986."" (https://www.charitydata.ca/charity/edson-friendship-centre/101580918RR0001/) | CIP Operating 2024-25, $74K: ""Edson Friendship Centre, $74,000 (admin, auditing, data collection, evaluation, staff training, wages) [search summary; PDF not opened]"" (https://www.alberta.ca/system/files/acsw-cip-operating-approved-applicants-2024-25.pdf) | Open access: ""Aboriginal and non-Aboriginal people of Edson and area who are in need"" (https://www.canadahelps.org/en/charities/edson-friendship-centre/)","Revenue; Org-development signal (spending CIP on evaluation is inference, not a need); Federal core funding level",S1 rests on a search summary of the PDF; None found otherwise,"Kristie Gomuwka, Executive Director (https://www.edsonfriendshipcentre.org/about)","Your $74K CIP Operating grant paid for evaluation, data and staff training. CIP-ODC (deadline Oct 15, 2026) is the direct successor for that capacity work."
8,A,Stop Abuse in Families (SAiF) Society,PASS,60,High,"Incorporated 1989 and a registered charity (BN 120971304RR0001) based in St. Albert. It has a stated $600K budget and client load rose from 789 (2020) to 2,616 (2024) with one full-time staff member.","Registered charity, incorporated 1989: ""The Stop Abuse in Families (SAiF) Society was incorporated in 1989."" (https://www.charitydata.ca/charity/stop-abuse-in-families-saif-society/120971304RR0001/) | Budget $600K: ""The organization has a $600,000 budget which supports operational costs as well as one full-time employee and eight part-time staff."" (https://www.stalbertgazette.com/lifestyle/saif-society-remounts-red-shoe-gala-11342421) | Demand outpacing capacity: ""In 2020, SAiF supported 789 clients, but by 2024, the numbers spiked to 2,616"" (https://www.stalbertgazette.com/lifestyle/saif-society-remounts-red-shoe-gala-11342421) | Secular, open services: ""Free services to individuals experiencing family violence, including individual counselling, group counselling, youth counselling..."" (https://www.saifsociety.ca/counselling-programs/)","Past CIP Operating (the Gazette says it is funded by donors, charitable orgs and project grants, with no CIP Operating mention); Whether the current ED is still Mark Dixon; Budget is not audited revenue",None found,"PARTIALLY VERIFIED: Mark Dixon, named interim ED in the St. Albert Gazette (https://www.stalbertgazette.com/local-news/saif-has-new-interim-director-6005985). The article looks to be several years old and his current title is unconfirmed. Confirm via https://www.saifsociety.ca/","Client load has tripled since 2020 on a $600K budget with one full-time staff member. CIP-ODC (deadline Oct 15, 2026) can fund the staffing model, systems and fund-development plan to carry that growth."
9,A,Lethbridge Food Bank Society,PASS,58,Medium,"A distinct charity listing (Benevity) operating since 1982. The board appointed a new ED in May 2026, and monthly hamper demand is up 90% over five years with a staff of eight.","New ED and demand growth: ""New executive director Tim Rempel ... 44th year of operation ... monthly hamper distribution up 90% over five years"" (https://lethbridgenewsnow.com/2026/05/20/new-executive-director-begins-at-lethbridge-food-bank/) | Staff scale: ""Staff of eight and about 12,000 hampers a year"" (https://lethbridgeherald.com/news/lethbridge-news/2026/09/18/a-million-pounds-of-food-and-the-need-keeps-growing/) | Entity distinct from Interfaith: ""LETHBRIDGE FOOD BANK SOCIETY, 1016 2ND AVENUE SOUTH ... Since 1982"" (Benevity cause 3a8f3c15-b7bb-4fe9-a9b8-f05cde8149fb)","Revenue (eight staff makes $100K+ plausible, but this is inference); Past CIP Operating; CRA BN not seen",No faith language seen. The entity is distinct from the Interfaith Food Bank per Benevity,"Tim Rempel, Executive Director (https://lethbridgenewsnow.com/2026/05/20/new-executive-director-begins-at-lethbridge-food-bank/)","A new ED four months in, demand up 90% and a staff of eight. The Oct 15, 2026 CIP-ODC intake can fund a strategic plan and operating-model review for the new leader's first year."
10,A,Fort Saskatchewan Families First Society,PASS,57,Medium,"Charity (CanadaHelps and Benevity) in Fort Saskatchewan. Its 2024-25 AGM report documents a new ED (June 2024), a bylaw rewrite and new board term limits.","Charity and Alberta address: ""Registered not-for-profit located at 9901 90 Street, Fort Saskatchewan, and it's a charitable organization"" (https://www.canadahelps.org/en/charities/fort-saskatchewan-families-first-society/) | Governance reset and new ED: ""Darryl Burry assumed the role of executive director in June 2024 ... the Board recently updated the society Bylaws, implementing a membership avenue and introducing term limits"" (https://irp.cdn-website.com/76d1fd3d/files/uploaded/AGM+Report+2024-25+(condensed).pdf) | Staffing scale: ""with the help of 12 permanent and several contract staff and volunteers"" (Benevity cause a259bc6f-5f9a-4745-9110-84ca6b90c3e5)",Revenue (RocketReach $6M and ZoomInfo <$5M are estimates only; 12 permanent staff makes $100K+ plausible but that is not evidence); Past CIP Operating; CRA BN not seen,"If revenue really is several million, $50K is a small lever; No faith requirement found. The ED's prior Salvation Army role is not an org disqualifier","Darryl Burry, Executive Director (named in the AGM Report 2024-25: https://irp.cdn-website.com/76d1fd3d/files/uploaded/AGM+Report+2024-25+(condensed).pdf)","The board just rewrote the bylaws and added term limits under a new ED. The Oct 15, 2026 CIP-ODC intake can fund the strategic plan and board development that finishes that reset."
